repo,org,org_type,language,category
tensorflow/tensorflow,google,company,Python,ml
pytorch/pytorch,pytorch,company,Python,ml
kubernetes/kubernetes,kubernetes,foundation,Go,infra
facebook/react,facebook,company,JavaScript,frontend
angular/angular,angular,company,TypeScript,frontend
vuejs/core,vuejs,community,TypeScript,frontend
microsoft/vscode,microsoft,company,TypeScript,tooling
torvalds/linux,torvalds,community,C,os
rust-lang/rust,rust-lang,foundation,Rust,language
golang/go,golang,company,Go,language
nodejs/node,nodejs,foundation,C++,runtime
python/cpython,python,foundation,C,language
apache/spark,apache,foundation,Scala,data
django/django,django,community,Python,web
pallets/flask,pallets,community,Python,web
microsoft/TypeScript,microsoft,company,TypeScript,language
vercel/next.js,vercel,company,JavaScript,frontend
denoland/deno,denoland,company,Rust,runtime
home-assistant/core,home-assistant,community,Python,iot
grafana/grafana,grafana,company,Go,observability
